smiles,name,svm_pubchem_pred,rf_pubchem_pred,xgb_pubchem_pred,knn_pubchem_pred
c1cccc(Cl)c1-c(noc2C)c2C(=O)N(C(C)C)Cc(cc3)ccc3N(C)C,BTB01319,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc(cc3)ccc3N4CCOCC4,BTB01388,0,0,0,1
c1cccc(Cl)c1-c(noc2C)c2C(=O)Nc3c(C)cc(cc3)NC(=O)C,BTB01411,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc3c(C)cc(cc3)NC(=O)C,BTB01412,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc(cc3[N+]([O-])=O)ccc3C,BTB01419,0,0,0,1
c1cccc(Cl)c1-c(noc2C)c2C(=O)Nc3cc(NC(=O)C)ccc3C,BTB01571,0,0,0,1
c1cccc(Cl)c1-c(noc2C)c2C(=O)Nc3c(cccc3)C[C@@H]4[N@@H+](C)CCc(c45)cccc5,BTB01767,0,0,0,1
[O-][N+](=O)c(c1)ccc(c12)N[C@H](NC2=O)c3ncccc3,BTB01836,0,0,0,1
c1cccc(Cl)c1C(=O)NCCc(c2)ccc(OC)c2OC,BTB01869,0,0,0,1
Clc1cccc(Cl)c1C(=O)NCCc(c2)ccc(OC)c2OC,BTB01876,0,0,0,1
c1cccc(Cl)c1-c(noc2C)c2C(=O)Nc(c3)ccc(c34)OCOC4,BTB01952,0,0,0,1
CCOC(=O)c(c1=O)c[nH]c(c12)c(C)cc(Cl)c2,BTB02004,0,0,0,1
c1c(Br)ccc(c12)nc(C)oc2=O,BTB02093,0,0,0,1
c1cccc(Cl)c1-c2c(c(on2)C)C(=O)SCC(=O)Nc(c3)cc(C(F)(F)F)cc3C(F)(F)F,BTB02220,0,0,0,1
c1ccccc1-c2c(C(=O)C)c(=O)[nH]c(c23)ccc(Cl)c3,BTB02345,0,0,0,1
c1c(Br)cc(Br)c(c12)nc(C)oc2=O,BTB02532,0,0,0,1
c1cccc(Cl)c1-c(noc2C)c2C(=O)Nc3cccc(c34)cccn4,BTB02677,0,0,0,1
c1c(C)ccc(c12)nc(oc2=O)-c3c(F)cccc3Cl,BTB02712,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc3cc(C#N)ccc3,BTB02756,0,0,0,1
c1cccc(c12)c(=O)[nH]nc2-c3cc(N)c(cc3)N(C)C,BTB02780,0,0,0,1
c1c(Cl)cc(C)c(c12)ncc(C(=O)[O-])c2O,BTB02846,0,0,0,1
c1ccnc(c12)oc3c(c2=O)cccc3,BTB03140,0,0,0,1
COc1[n-]c(=O)c(C#N)c(c1C#N)-c2ccc(Cl)cc2,BTB03160,0,0,0,1
Clc1cccc(Cl)c1-c(noc2C)c2C(=O)N3CCN(CC3)c(c4[N+]([O-])=O)ccc(C(F)(F)F)c4,BTB03392,0,0,0,1
c1cccc(Cl)c1-c(noc2C)c2NC(=O)N3[C@@H](C)CCc(c34)cc(F)cc4,BTB03394,0,0,0,1
c1cccc(Cl)c1-c2c(c(on2)C)NC(=O)NCc3sccc3,BTB03403,0,0,0,1
c1cccc(Cl)c1-c2c(c(on2)C)NC(=O)NCCc3ccncc3,BTB03426,0,0,0,1
c1cccc(Cl)c1-c2c(c(on2)C)C(=O)NCCc3ccncc3,BTB03471,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)NCCS(=O)(=O)c3ccccc3,BTB03496,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)NCCS(=O)(=O)c3ccc(Cl)cc3,BTB03497,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)NCCS(=O)(=O)c3ccc(C)cc3,BTB03498,0,0,0,1
NNC(=O)CNC(=O)c(c(on1)C)c1-c2c(Cl)cccc2Cl,BTB03504,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)NCCSC3=[NH+]CCN3,BTB03514,0,0,0,1
C1CN=C(SC)N1C(=O)c2c(noc2C)-c3c(F)cccc3Cl,BTB03622,0,0,0,1
C1CN=C(SC)N1C(=O)c2c(noc2C)-c3ccccc3,BTB03623,0,0,0,1
C1CN=C(SC)N1C(=O)c2c(noc2C)-c3c(Cl)cccc3,BTB03624,0,0,0,1
C1CCN=C(SC)N1C(=O)c2c(noc2C)-c3c(Cl)cccc3F,BTB03626,0,0,0,1
c1ccccc1-c(noc2C)c2C(=O)N3C(SC)=NCCC3,BTB03627,0,0,0,1
c1cccc(Cl)c1-c(noc2C)c2C(=O)N3C(SC)=NCCC3,BTB03628,0,0,0,1
C1CC[NH+]=C(C)N1C(=O)c2c(noc2C)-c3c(Cl)cccc3Cl,BTB03629,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc(cc3)c(Cl)cc3[N+]([O-])=O,BTB03658,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc3c(NC(=O)C)cc(Cl)c(F)c3,BTB03678,0,0,0,1
c1ccccc1[C@H](C2CCCC2)c(oc3=O)nc(c34)cccc4F,BTB03731,0,0,0,1
Fc1cccc(c12)nc(oc2=O)-c3c(noc3C)-c4c(Cl)cccc4Cl,BTB03733,0,0,0,1
c1ccc(C(F)(F)F)cc1-c(oc2=O)nc(c23)cccc3F,BTB03734,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc(cccc3F)c3C(=O)Nc4ccc(F)cc4,BTB03742,0,0,0,1
c1c(F)cc(F)c(c12)ncc(C(=O)OCC)c2N3CCOCC3,BTB03780,0,0,0,1
C1[C@H](C)O[C@@H](C)CN1c2c(C(=O)OCC)cnc(c23)cc(Cl)c(F)c3,BTB03788,1,0,0,1
c1c(F)c(Cl)cc(c12)ncc(C(=O)OCC)c2N3CCOCC3,BTB03789,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc(cc3)cnc3Oc(cc(c4Cl)C)cc4C,BTB03890,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc(cc3)cnc3Oc(cc4)ccc4C(C)(C)C,BTB03891,1,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc(cc3)cnc3Oc4c(Cl)cccc4Cl,BTB03892,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)NNC(=O)NC(C)(C)C,BTB03895,0,0,0,1
[O-][N+](=O)c1ccc(cc1)C(=O)Nc2nc(ccc2)NC=C(C#N)C#N,BTB04092,0,0,0,1
c1cccc(Cl)c1C(=O)NC(=O)Oc(c2C(C)(C)C)ccc(c2)C(C)(C)C,BTB04120,0,0,0,1
Clc1cccc(F)c1C(=O)NC(=O)Oc(c2C(C)(C)C)ccc(c2)C(C)(C)C,BTB04121,0,0,0,1
Clc1cccc(F)c1-c2c(c(on2)C)C(=O)NCC(=O)c3ccc(Br)cc3,BTB04143,0,0,0,1
CC(C)(C)c(c1)cc(C(C)(C)C)c(c1[N+]([O-])=O)OC(=O)c2c(nccc2)Oc3ccccc3,BTB04322,0,0,0,1
c1cc(Cl)cc(Cl)c1C(=O)N([C@H]2C)CCc(c23)cc(OC)c(c3)OC,BTB04343,0,0,0,1
c1ccc(C)cc1-c(oc2=O)nc(c23)cccc3F,BTB04365,0,0,0,1
c1cc(Cl)cc(Cl)c1-c(oc2=O)nc(c23)cccc3F,BTB04366,0,0,0,1
c1cc(F)c(Cl)cc1-c(oc2=O)nc(c23)cccc3F,BTB04375,0,0,0,1
Clc1cccc(F)c1-c(oc2=O)nc(c23)cccc3F,BTB04377,0,0,0,1
c1c(C)cc(Br)c(c12)nc(oc2=O)-c3cc(C(F)(F)F)ccc3,BTB04580,0,0,0,1
c1ccc(C(F)(F)F)cc1-c(oc2=O)nc(c23)cccc3Cl,BTB04581,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)O\N=C\C(C)=N\Nc3c(Cl)cc(Cl)cc3Cl,BTB04743,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc(c3[N+]([O-])=O)cc(C)c(c3)C,BTB04832,0,0,0,1
Clc1cccc(Cl)c1C(=O)NC(=O)Oc2c(F)cc(F)cc2,BTB04836,0,0,0,1
Clc1cccc(Cl)c1C(=O)NC(=O)Oc(c2)cc(C(F)(F)F)cc2C(F)(F)F,BTB04838,0,0,0,1
Clc1cccc(Cl)c1C(=O)NC(=O)Oc(cc2)ccc2C(F)(F)F,BTB04846,0,0,0,1
Clc1cccc(Cl)c1C(=O)NC(=O)Oc2c(Cl)cc(F)cc2,BTB04847,0,0,0,1
c1cccc(c12)oc(=O)c(c2)C(=O)NCCc(cc3)ccc3Cl,BTB04897,0,0,0,1
[O-][N+](=O)c(c1)ccc(c12)oc3c(c2=O)cccn3,BTB04948,0,0,0,1
c1cccc(c12)nc(-c3ccccc3)n(c2=O)OC(=O)c(c(on4)C)c4-c5c(Cl)cccc5Cl,BTB05025,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc(c3C(=O)OC)cc(Cl)cc3,BTB05033,0,0,0,1
Fc1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc(c3C(=O)OC)cc(Cl)cc3,BTB05039,0,0,0,1
c1ccccc1-c(noc2C)c2C(=O)Nc(c3C(=O)OC)cc(Cl)cc3,BTB05046,0,0,0,1
Clc1cccc(Cl)c1C(=O)NC(=O)Oc2c(C(C)C)cccc2C(C)C,BTB05066,0,0,0,1
c1ccnc(c12)oc3c(c2=O)cc(cc3)NC(=O)c(cc4)ccc4[N+]([O-])=O,BTB05308,0,0,0,1
O=S(=O)(C)Nc(cc1)cc(c2=O)c1oc(c23)nccc3,BTB05324,0,0,0,1
n1cccc(c2=O)c1oc(c23)ccc(c3)-n4cccc4,BTB05341,0,0,0,1
c1ccnc(c12)oc3c(c2=O)cc(cc3)N\C=C(C#N)\C(=O)OCC,BTB05342,0,0,0,1
c1ccnc(c12)oc3c(c2=O)cc(cc3)NC=C(C#N)C#N,BTB05343,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc(cccc3)c3C(=O)NNc4c(Cl)cc(Cl)cc4Cl,BTB05443,0,0,0,1
c1cccc(c12)oc(=O)c(c2)C(=O)OCCNc(cc3)ncc3[N+]([O-])=O,BTB05500,0,0,0,1
c1ccccc1-c2c(=O)ncn(c2)Cc3ncccc3,BTB05544,0,0,0,1
[O-][N+](=O)c1cnc(cc1)N(CC2)CCN2C(=O)c3cc(C(F)(F)F)ccc3,BTB05950,0,0,0,1
[O-][N+](=O)c1cnc(cc1)N(CC2)CCN2C(=O)c3c(N)cccc3,BTB05997,0,0,0,1
c1c(F)cc(F)c(c12)[nH]c(C)cc2=O,BTB06033,0,0,0,1
c1c(F)cc(F)c(c12)[nH]c(C)c(I)c2=O,BTB06039,0,0,0,1
c1c(F)ccc(c12)[nH]c(C)c(I)c2=O,BTB06058,0,0,0,1
c1c(Cl)ccc(c12)[nH]c(C)c(I)c2=O,BTB06059,0,0,0,1
c1c(C)cc(C)c(c12)[nH]c(C)cc2=O,BTB06136,0,0,0,1
O=c1ccc(C)nn1Cc2ccc(C)cc2,BTB06990,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc3ccc(F)cc3,BTB07050,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc(cc3Cl)ccc3F,BTB07051,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc3cc(Cl)ccc3,BTB07052,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc(c3[N+]([O-])=O)cccc3,BTB07053,0,0,0,1
Clc1cccc(Cl)c1C(=O)NC(=O)Oc2c(Cl)cccc2Cl,BTB07055,0,0,0,1
c1cc(Cl)ccc1C(=O)NC(=O)Oc2ccccc2,BTB07057,0,0,0,1
c1ccccc1C(=O)NC(=O)Oc2ccc(Cl)cc2,BTB07058,0,0,0,1
Clc1cccc(Cl)c1C(=O)NC(=O)Oc2c(F)cccc2F,BTB07062,0,0,0,1
Fc1cccc(Cl)c1C(=O)NC(=O)Oc2ccc(cc2)CC#N,BTB07089,0,0,0,1
c1cc(C(C)(C)C)ccc1C(=O)Nc(cc2)cnc2Oc3cnccc3,BTB07222,0,0,0,1
O=c1n(C)ncc(c1Cl)N(C)NC(=O)c2ccc(Cl)cc2,BTB07346,0,0,0,1
n1oc(C)c(C(=O)NN)c1-c2c(Cl)cccc2,BTB07542,0,0,0,1
O=C(N)c1c(OC)c(Cl)ccc1OC,BTB07633,0,0,0,1
n1c(C)nc(C)nc1NC(=O)NC(=O)c2c(OC)c(Cl)ccc2OC,BTB07648,0,0,0,1
COc(n1)nc(OC)nc1NC(=O)NC(=O)c2c(OC)c(Cl)ccc2OC,BTB07649,0,0,0,1
O=C(N)c1c(OC)c(Cl)cc(Cl)c1OC,BTB07674,0,0,0,1
c1cccc(c12)c(nn(c2=O)C)-c3cc(C)c(c(c3)C)OC(=O)c(cc4)ccc4C(F)(F)F,BTB08280,0,0,0,1
c1cccc(c12)c(nn(c2=O)C)-c3cc(C)c(c(c3)C)OC(=O)c4ccc(C)cc4,BTB08281,0,0,0,1
c1cccc(c12)c(nn(c2=O)C)-c3cc(C)c(c(c3)C)OC(=O)c(cc4)ccc4[N+]([O-])=O,BTB08282,0,0,0,1
c1cccc(c12)c(nn(c2=O)C)-c3cc(C)c(c(c3)C)OCC(=O)OC,BTB08290,0,0,0,1
c1cccc(c12)c(nn(c2=O)C)-c3cc(C)c(c(c3)C)OC(=O)Nc4ccccc4,BTB08294,0,0,0,1
CSc(n1)nc(n12)nccc2NC(=O)c3cc(C)ccc3,BTB08419,0,0,0,1
Cc1cccc(c12)nc(oc2=O)-c3cc([N+]([O-])=O)ccc3Oc4ccc(cc4)OC,BTB08533,0,0,0,1
c1ccncc1NC(=O)c(cc(c2)C(C)(C)C)cc2C(=O)Nc3cnccc3,BTB08632,0,0,0,1
c1ccncc1OC(=O)c(cc(c2)C(C)(C)C)cc2C(=O)Oc3cnccc3,BTB08637,0,0,0,1
Cc1noc(c12)ncc(c2[O-])C(=O)OCC,BTB08703,0,0,0,1
c1nnc(n12)nc(C)cc2OCC(=O)c(cc3C(F)(F)F)ccc3,BTB08755,0,0,0,1
O=c1n(C)nc(C)c(c12)c(on2)/C=C/c(cc3)ccc3C(F)(F)F,BTB09048,0,0,0,1
N#Cc1c(=O)[nH]c(C)c(c1)C(=O)C,BTB09128,0,0,0,1
c1cc(Cl)cc(Cl)c1C(=O)Nc(cccn2)c2Oc3ccc(C)c(c34)CCC4,BTB09497,0,0,0,1
O=C1CCCc(c12)[nH]c(=O)c(c2)C#N,BTB09549,0,0,0,1
N#Cc1c(=O)n(C)c(C)cc1C,BTB09800,0,0,0,1
c1cccc(N)[n+]1C[C@@H](O)c2ccccc2,BTB10420,0,0,0,1
CSc1noc(c1C#N)-c2ccc(Cl)cc2,BTB10916,0,0,0,1
c1cccc(c12)nc(n2C)N(C3=O)C(=O)c(c4c35)cccc4ccc5,BTB11695,0,0,0,1
c1cccc(c12)nc(n2C)N(C3=O)C(=O)c(c4c35)cccc4c(cc5)N(C)C,BTB11700,0,0,0,1
c1ccccc1-c(nn2)nc([O-])c2CC(=O)c3ccc(C)cc3,BTB11711,0,0,0,1
c1ccccc1-n2c(=O)c(-c3ccccc3)c([O-])c(Cl)c2-c4ccccc4,BTB11805,0,0,0,1
OCCn(c1=O)c(=O)c(c2)c1cc(c23)c(=O)n(c3=O)CCO,BTB12197,0,0,0,1
O=c1n(C)c(N)c(C#N)c(c12)ccc([N+]([O-])=O)c2,BTB12296,0,0,0,1
n1c(C)cc(C)n(c12)ncc2C(=O)OCC,BTB12660,0,0,0,1
n1n(C)cc(c12)c(=O)[n-]nn2,BTB12666,0,0,0,1
Cn1c(=O)n(C)c(=O)c(c12)cc3c(n2)cccc3,BTB12961,0,0,0,1
c1cccc(c2)c1nc(c23)c4c5c(C3=O)cccc5ccc4,BTB12965,0,0,0,1
c1cccc(n2)c1cc(c(=O)n3C)c2c(c34)c(=O)n(-c5ccccc5)c(=O)n4-c6ccccc6,BTB13069,0,0,0,1
Cn1c(=O)n(C)c(=O)c(c12)c3c(cc4c(n3)cccc4)c(=O)n2-c5ccccc5,BTB13070,0,0,0,1
c1c(F)ccc(n2)c1cc(c2c(c34)c(=O)n(C)c(=O)n3C)c(=O)n4-c5ccccc5,BTB13227,0,0,0,1
c1cc(F)cc2c1[nH]c(c23)CCN(C3)C(=O)c4c(Cl)cc(Cl)cc4,BTB13385,0,0,0,1
c1cc(F)cc2c1[nH]c(c23)CCN(C3)C(=O)c4cccc(c45)cccc5,BTB13386,0,0,0,1
c1cc(F)cc2c1[nH]c(c23)CCN(C3)C(=O)c4c(C)nns4,BTB13387,0,0,0,1
c1cccc(c12)cccc2C(=O)N3CCC(CC3)c4c(OC)cccc4,BTB13418,0,0,0,1
c1cc(Cl)ccc1C(=O)N2CCC(CC2)c3c(OC)cccc3,BTB13421,0,0,0,1
Clc1cccc(F)c1-c(noc2C)c2C(=O)N3CCN(CC3)c4ncc(Br)cn4,BTB13720,0,0,0,1
c1ccoc1-c(c2C#N)cc(c(C#N)c2N)-c3ccccc3,BTB13727,0,0,0,1
Fc1cccc(Cl)c1-c(noc2C)c2C(=O)N3CC(C3)Oc4ccc(Cl)cc4,BTB13757,0,0,0,1
O=C1N(C)C(=O)c(c12)ccc(c2)Oc(cc3)ccc3C(C)(C)c4ccc(cc4)Oc(c5)ccc(c56)C(=O)N(C6=O)C,BTB13885,0,0,0,1
n1cnc(N)c(c12)ncn2[C@@H]3O[C@@H]([C@H](C3)OC(=O)C(C)(C)C)COC(=O)C(C)(C)C,BTB14108,0,0,0,1
COc1ccc(OC)c(c12)C(=O)c3c(C2=O)cccc3,BTB14416,0,0,0,1
c1ccc([N+]([O-])=O)cc1C(=O)N2CCN(CC2)c3ncccn3,BTB14504,0,0,0,1
Clc1cccc(F)c1-c(noc2C)c2C(=O)N3CCN(CC3)c4ncccn4,BTB14509,0,0,0,1
Cn1c(=O)n(C)c(=O)c(c12)c(N3CCCCC3)cc(n2)N4CCCCC4,BTB14663,0,0,0,1
Cn1c(=O)n(C)c(=O)c(c12)c3c(c(=O)n2C)cc4c(n3)cc(F)cc4,BTB14665,0,0,0,1
c1ccccc1-c(c2O)c(=O)[nH]c(c23)c(C)cc(Cl)c3,BTB14675,0,0,0,1
Cn1c(=O)n(C)c(=O)c(c12)cc3c(n2)cc(C)c(c3)C,BTB14679,0,0,0,1
c1c(Cl)cc(Cl)c(c12)nc(oc2=O)-c3cc(C(F)(F)F)ccc3,BTB14703,0,0,0,1
c1ccnn1-c2ccc(cc2)CO,CC18409,0,0,0,1
c1cncn1-c2ccc(cc2)CO,CC18509,0,0,0,1
n1cc(CO)c(C)nc1-c2ccccc2,CC20209,0,0,0,1
n1cccc(CO)c1N2CCOCC2,CC24609,0,0,0,1
c1cccn1-c2ccc(cc2)CO,CC25509,0,0,0,1
C#CC(CC)(CC)NC(=O)c1c(noc1C)-c2c(Cl)cccc2,CD00843,0,0,0,1
c1cccc(Cl)c1-c(noc2C)c2C(=O)Nc3c(cccc3)N4CCCCC4,CD01584,0,0,0,1
CN(C)NC(=O)c1c(noc1C)-c2c(Cl)cccc2,CD01647,0,0,0,1
c1cccc(Cl)c1-c(noc2C)c2C(=O)Nc3cnccc3,CD01650,0,0,0,1
n1oc(C)c(C(=O)N)c1-c2c(Cl)cccc2,CD01799,0,0,0,1
n1oc(C)c(C(=O)NN)c1-c2c(Cl)cccc2Cl,CD01867,0,0,0,1
c1cccc(C2=O)c1[C@@H](N23)N(CCC3)C(=O)c4c(noc4C)-c5ccccc5,CD02032,0,0,0,1
Cc1c(C)c(C)c(C)c(C)c1C(=O)c2c(cccc2)C(=O)NCc3cnccc3,CD02101,0,0,0,1
Cc1c(C)c(C)c(C)c(C)c1C(=O)c2c(cccc2)C(=O)NNC(=O)c3cnccc3,CD02123,0,0,0,1
c1cccc(Cl)c1-c2c(c(on2)C)C(=O)O/N=C(C)/c3ccc(F)cc3,CD02151,0,0,0,1
N#CCCN(CCC#N)C(=O)c1c(noc1C)-c2c(Cl)cccc2,CD02234,0,0,0,1
c1cccc(C2=O)c1[C@H](N23)N(CCC3)C(=O)Nc(c(on4)C)c4-c5c(Cl)cccc5Cl,CD02379,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)NC(=O)O/N=C(C)/c3ccc(F)cc3,CD02380,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)ONC(=O)c3ccccc3,CD02492,0,0,0,1
Cc1c(C)c(C)c(C)c(C)c1COc(c2C(=O)C)cccc2,CD02516,0,0,0,1
c1cccc(Cl)c1-c(noc2C)c2C(=O)Nc(cc3C(F)(F)F)cc(c3)OC,CD03033,0,0,0,1
c1cccc(Cl)c1-c2c(c(on2)C)C(=O)O/N=C3/NCCCC3,CD03092,0,0,0,1
c1cccn1-n(c2=O)c(nc(c23)cccc3)C(=O)NCCc(c4)ccc(OC)c4OC,CD03353,0,0,0,1
c1cccn1C(=O)c2c(noc2C)-c3ccccc3,CD03857,0,0,0,1
c1cccc(Cl)c1-c2c(c(on2)C)NC(=O)Nc(c(C)c3[N+]([O-])=O)cc(c34)C(C)(C)CC4(C)C,CD03867,0,0,0,1
c1cc(CO)oc1-c(c2)cc(C(F)(F)F)cc2C(F)(F)F,CD04026,0,0,0,1
FC(F)(F)c1cc(C(F)(F)F)cc(c1)-c2oc(cc2)/C=N/OCc3c(C)cc(C)cc3C,CD04189,0,0,0,1
FC(F)(F)c(c1)ccc(c1[N+]([O-])=O)-c2oc(cc2)/C=N/OCc3c(C)cc(C)cc3C,CD04339,0,0,0,1
c1ccccc1-c(noc2C)c2C(=O)Nc(cc3C(F)(F)F)c(Cl)cc3Cl,CD04430,0,0,0,1
c1cccc(Cl)c1-c2c(c(on2)C)NC(=O)OCC#Cc(c3)cc(C(F)(F)F)cc3C(F)(F)F,CD04567,0,0,0,1
c1ccncc1NC(=O)c2c(CC(C(=O)[O-])(C)C)cc(C)cc2C,CD04575,0,0,0,1
n1oc(C)c(C(=O)N)c1-c2c(Cl)cccc2Cl,CD05279,0,0,0,1
CCNC(=O)c(c(on1)C)c1-c2c(Cl)cccc2Cl,CD05280,0,0,0,1
C=CCN(CC=C)C(=O)c1c(noc1C)-c2c(Cl)cccc2Cl,CD05281,0,0,0,1
C1CC=CCN1C(=O)c2c(noc2C)-c3c(Cl)cccc3Cl,CD05282,0,0,0,1
Cc1onc(c1C(=O)N(C)C)-c2c(Cl)cccc2Cl,CD05283,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)NCCCOC,CD05284,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)NCC[NH+](CC)CC,CD05285,0,0,0,1
C#CCOC(=O)c(c(on1)C)c1-c2c(Cl)cccc2Cl,CD05290,0,0,0,1
O=C(C)NOC(=O)c(c(on1)C)c1-c2c(Cl)cccc2Cl,CD05331,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)ONC(=O)c3ccc(F)cc3,CD05372,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)ONC(=O)c(c3)cc(C(F)(F)F)cc3C(F)(F)F,CD05392,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)NC(=O)Nc(c3)cc(C(F)(F)F)cc3C(F)(F)F,CD05437,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)NOC(=O)c3sccc3,CD05466,0,0,0,1
Clc1cccc(Cl)c1-c2c(c(on2)C)C(=O)NCc3c(F)cccc3Cl,CD05503,0,0,0,1
